In archive gamma, Unit-0000 must take route north loop, has quota 10, uses permission read, opens window 2, and if rain occurs then the required action is delay. Query answer: Unit-0000 route=north loop; quota=10; permission=read; window=2; cause=rain; action=delay.
In archive gamma, Unit-0001 must take route east ridge, has quota 17, uses permission survey, opens window 7, and if heat occurs then the required action is anchor. Query answer: Unit-0001 route=east ridge; quota=17; permission=survey; window=7; cause=heat; action=anchor.
In archive gamma, Unit-0002 must take route amber ferry, has quota 24, uses permission signal, opens window 12, and if static occurs then the required action is cooldown. Query answer: Unit-0002 route=amber ferry; quota=24; permission=signal; window=12; cause=static; action=cooldown.
In archive gamma, Unit-0003 must take route delta canal, has quota 31, uses permission dock, opens window 17, and if wind occurs then the required action is inspect. Query answer: Unit-0003 route=delta canal; quota=31; permission=dock; window=17; cause=wind; action=inspect.
In archive gamma, Unit-0004 must take route silver spur, has quota 38, uses permission export, opens window 4, and if fog occurs then the required action is reroute. Query answer: Unit-0004 route=silver spur; quota=38; permission=export; window=4; cause=fog; action=reroute.
In archive gamma, Unit-0005 must take route north loop, has quota 45, uses permission read, opens window 9, and if rain occurs then the required action is delay. Query answer: Unit-0005 route=north loop; quota=45; permission=read; window=9; cause=rain; action=delay.
In archive gamma, Unit-0006 must take route east ridge, has quota 52, uses permission survey, opens window 14, and if heat occurs then the required action is anchor. Query answer: Unit-0006 route=east ridge; quota=52; permission=survey; window=14; cause=heat; action=anchor.
In archive gamma, Unit-0007 must take route amber ferry, has quota 59, uses permission signal, opens window 19, and if static occurs then the required action is cooldown. Query answer: Unit-0007 route=amber ferry; quota=59; permission=signal; window=19; cause=static; action=cooldown.
In archive gamma, Unit-0008 must take route delta canal, has quota 66, uses permission dock, opens window 6, and if wind occurs then the required action is inspect. Query answer: Unit-0008 route=delta canal; quota=66; permission=dock; window=6; cause=wind; action=inspect.
In archive gamma, Unit-0009 must take route silver spur, has quota 73, uses permission export, opens window 11, and if fog occurs then the required action is reroute. Query answer: Unit-0009 route=silver spur; quota=73; permission=export; window=11; cause=fog; action=reroute.
In archive gamma, Unit-0010 must take route north loop, has quota 80, uses permission read, opens window 16, and if rain occurs then the required action is delay. Query answer: Unit-0010 route=north loop; quota=80; permission=read; window=16; cause=rain; action=delay.
In archive gamma, Unit-0011 must take route east ridge, has quota 87, uses permission survey, opens window 3, and if heat occurs then the required action is anchor. Query answer: Unit-0011 route=east ridge; quota=87; permission=survey; window=3; cause=heat; action=anchor.
In archive gamma, Unit-0012 must take route amber ferry, has quota 14, uses permission signal, opens window 8, and if static occurs then the required action is cooldown. Query answer: Unit-0012 route=amber ferry; quota=14; permission=signal; window=8; cause=static; action=cooldown.
In archive gamma, Unit-0013 must take route delta canal, has quota 21, uses permission dock, opens window 13, and if wind occurs then the required action is inspect. Query answer: Unit-0013 route=delta canal; quota=21; permission=dock; window=13; cause=wind; action=inspect.
In archive gamma, Unit-0014 must take route silver spur, has quota 28, uses permission export, opens window 18, and if fog occurs then the required action is reroute. Query answer: Unit-0014 route=silver spur; quota=28; permission=export; window=18; cause=fog; action=reroute.
In archive gamma, Unit-0015 must take route north loop, has quota 35, uses permission read, opens window 5, and if rain occurs then the required action is delay. Query answer: Unit-0015 route=north loop; quota=35; permission=read; window=5; cause=rain; action=delay.
In archive gamma, Unit-0016 must take route east ridge, has quota 42, uses permission survey, opens window 10, and if heat occurs then the required action is anchor. Query answer: Unit-0016 route=east ridge; quota=42; permission=survey; window=10; cause=heat; action=anchor.
In archive gamma, Unit-0017 must take route amber ferry, has quota 49, uses permission signal, opens window 15, and if static occurs then the required action is cooldown. Query answer: Unit-0017 route=amber ferry; quota=49; permission=signal; window=15; cause=static; action=cooldown.
In archive gamma, Unit-0018 must take route delta canal, has quota 56, uses permission dock, opens window 2, and if wind occurs then the required action is inspect. Query answer: Unit-0018 route=delta canal; quota=56; permission=dock; window=2; cause=wind; action=inspect.
In archive gamma, Unit-0019 must take route silver spur, has quota 63, uses permission export, opens window 7, and if fog occurs then the required action is reroute. Query answer: Unit-0019 route=silver spur; quota=63; permission=export; window=7; cause=fog; action=reroute.
In archive gamma, Unit-0020 must take route north loop, has quota 70, uses permission read, opens window 12, and if rain occurs then the required action is delay. Query answer: Unit-0020 route=north loop; quota=70; permission=read; window=12; cause=rain; action=delay.
In archive gamma, Unit-0021 must take route east ridge, has quota 77, uses permission survey, opens window 17, and if heat occurs then the required action is anchor. Query answer: Unit-0021 route=east ridge; quota=77; permission=survey; window=17; cause=heat; action=anchor.
In archive gamma, Unit-0022 must take route amber ferry, has quota 84, uses permission signal, opens window 4, and if static occurs then the required action is cooldown. Query answer: Unit-0022 route=amber ferry; quota=84; permission=signal; window=4; cause=static; action=cooldown.
In archive gamma, Unit-0023 must take route delta canal, has quota 11, uses permission dock, opens window 9, and if wind occurs then the required action is inspect. Query answer: Unit-0023 route=delta canal; quota=11; permission=dock; window=9; cause=wind; action=inspect.
In archive gamma, Unit-0024 must take route silver spur, has quota 18, uses permission export, opens window 14, and if fog occurs then the required action is reroute. Query answer: Unit-0024 route=silver spur; quota=18; permission=export; window=14; cause=fog; action=reroute.
In archive gamma, Unit-0025 must take route north loop, has quota 25, uses permission read, opens window 19, and if rain occurs then the required action is delay. Query answer: Unit-0025 route=north loop; quota=25; permission=read; window=19; cause=rain; action=delay.
In archive gamma, Unit-0026 must take route east ridge, has quota 32, uses permission survey, opens window 6, and if heat occurs then the required action is anchor. Query answer: Unit-0026 route=east ridge; quota=32; permission=survey; window=6; cause=heat; action=anchor.
In archive gamma, Unit-0027 must take route amber ferry, has quota 39, uses permission signal, opens window 11, and if static occurs then the required action is cooldown. Query answer: Unit-0027 route=amber ferry; quota=39; permission=signal; window=11; cause=static; action=cooldown.
In archive gamma, Unit-0028 must take route delta canal, has quota 46, uses permission dock, opens window 16, and if wind occurs then the required action is inspect. Query answer: Unit-0028 route=delta canal; quota=46; permission=dock; window=16; cause=wind; action=inspect.
In archive gamma, Unit-0029 must take route silver spur, has quota 53, uses permission export, opens window 3, and if fog occurs then the required action is reroute. Query answer: Unit-0029 route=silver spur; quota=53; permission=export; window=3; cause=fog; action=reroute.
In archive gamma, Unit-0030 must take route north loop, has quota 60, uses permission read, opens window 8, and if rain occurs then the required action is delay. Query answer: Unit-0030 route=north loop; quota=60; permission=read; window=8; cause=rain; action=delay.
In archive gamma, Unit-0031 must take route east ridge, has quota 67, uses permission survey, opens window 13, and if heat occurs then the required action is anchor. Query answer: Unit-0031 route=east ridge; quota=67; permission=survey; window=13; cause=heat; action=anchor.
In archive gamma, Unit-0032 must take route amber ferry, has quota 74, uses permission signal, opens window 18, and if static occurs then the required action is cooldown. Query answer: Unit-0032 route=amber ferry; quota=74; permission=signal; window=18; cause=static; action=cooldown.
In archive gamma, Unit-0033 must take route delta canal, has quota 81, uses permission dock, opens window 5, and if wind occurs then the required action is inspect. Query answer: Unit-0033 route=delta canal; quota=81; permission=dock; window=5; cause=wind; action=inspect.
In archive gamma, Unit-0034 must take route silver spur, has quota 88, uses permission export, opens window 10, and if fog occurs then the required action is reroute. Query answer: Unit-0034 route=silver spur; quota=88; permission=export; window=10; cause=fog; action=reroute.
In archive gamma, Unit-0035 must take route north loop, has quota 15, uses permission read, opens window 15, and if rain occurs then the required action is delay. Query answer: Unit-0035 route=north loop; quota=15; permission=read; window=15; cause=rain; action=delay.
In archive gamma, Unit-0036 must take route east ridge, has quota 22, uses permission survey, opens window 2, and if heat occurs then the required action is anchor. Query answer: Unit-0036 route=east ridge; quota=22; permission=survey; window=2; cause=heat; action=anchor.
In archive gamma, Unit-0037 must take route amber ferry, has quota 29, uses permission signal, opens window 7, and if static occurs then the required action is cooldown. Query answer: Unit-0037 route=amber ferry; quota=29; permission=signal; window=7; cause=static; action=cooldown.
In archive gamma, Unit-0038 must take route delta canal, has quota 36, uses permission dock, opens window 12, and if wind occurs then the required action is inspect. Query answer: Unit-0038 route=delta canal; quota=36; permission=dock; window=12; cause=wind; action=inspect.
In archive gamma, Unit-0039 must take route silver spur, has quota 43, uses permission export, opens window 17, and if fog occurs then the required action is reroute. Query answer: Unit-0039 route=silver spur; quota=43; permission=export; window=17; cause=fog; action=reroute.
In archive gamma, Unit-0040 must take route north loop, has quota 50, uses permission read, opens window 4, and if rain occurs then the required action is delay. Query answer: Unit-0040 route=north loop; quota=50; permission=read; window=4; cause=rain; action=delay.
In archive gamma, Unit-0041 must take route east ridge, has quota 57, uses permission survey, opens window 9, and if heat occurs then the required action is anchor. Query answer: Unit-0041 route=east ridge; quota=57; permission=survey; window=9; cause=heat; action=anchor.
In archive gamma, Unit-0042 must take route amber ferry, has quota 64, uses permission signal, opens window 14, and if static occurs then the required action is cooldown. Query answer: Unit-0042 route=amber ferry; quota=64; permission=signal; window=14; cause=static; action=cooldown.
In archive gamma, Unit-0043 must take route delta canal, has quota 71, uses permission dock, opens window 19, and if wind occurs then the required action is inspect. Query answer: Unit-0043 route=delta canal; quota=71; permission=dock; window=19; cause=wind; action=inspect.
In archive gamma, Unit-0044 must take route silver spur, has quota 78, uses permission export, opens window 6, and if fog occurs then the required action is reroute. Query answer: Unit-0044 route=silver spur; quota=78; permission=export; window=6; cause=fog; action=reroute.
In archive gamma, Unit-0045 must take route north loop, has quota 85, uses permission read, opens window 11, and if rain occurs then the required action is delay. Query answer: Unit-0045 route=north loop; quota=85; permission=read; window=11; cause=rain; action=delay.
In archive gamma, Unit-0046 must take route east ridge, has quota 12, uses permission survey, opens window 16, and if heat occurs then the required action is anchor. Query answer: Unit-0046 route=east ridge; quota=12; permission=survey; window=16; cause=heat; action=anchor.
In archive gamma, Unit-0047 must take route amber ferry, has quota 19, uses permission signal, opens window 3, and if static occurs then the required action is cooldown. Query answer: Unit-0047 route=amber ferry; quota=19; permission=signal; window=3; cause=static; action=cooldown.
In archive gamma, Unit-0048 must take route delta canal, has quota 26, uses permission dock, opens window 8, and if wind occurs then the required action is inspect. Query answer: Unit-0048 route=delta canal; quota=26; permission=dock; window=8; cause=wind; action=inspect.
In archive gamma, Unit-0049 must take route silver spur, has quota 33, uses permission export, opens window 13, and if fog occurs then the required action is reroute. Query answer: Unit-0049 route=silver spur; quota=33; permission=export; window=13; cause=fog; action=reroute.
In archive gamma, Unit-0050 must take route north loop, has quota 40, uses permission read, opens window 18, and if rain occurs then the required action is delay. Query answer: Unit-0050 route=north loop; quota=40; permission=read; window=18; cause=rain; action=delay.
In archive gamma, Unit-0051 must take route east ridge, has quota 47, uses permission survey, opens window 5, and if heat occurs then the required action is anchor. Query answer: Unit-0051 route=east ridge; quota=47; permission=survey; window=5; cause=heat; action=anchor.
In archive gamma, Unit-0052 must take route amber ferry, has quota 54, uses permission signal, opens window 10, and if static occurs then the required action is cooldown. Query answer: Unit-0052 route=amber ferry; quota=54; permission=signal; window=10; cause=static; action=cooldown.
In archive gamma, Unit-0053 must take route delta canal, has quota 61, uses permission dock, opens window 15, and if wind occurs then the required action is inspect. Query answer: Unit-0053 route=delta canal; quota=61; permission=dock; window=15; cause=wind; action=inspect.
In archive gamma, Unit-0054 must take route silver spur, has quota 68, uses permission export, opens window 2, and if fog occurs then the required action is reroute. Query answer: Unit-0054 route=silver spur; quota=68; permission=export; window=2; cause=fog; action=reroute.
In archive gamma, Unit-0055 must take route north loop, has quota 75, uses permission read, opens window 7, and if rain occurs then the required action is delay. Query answer: Unit-0055 route=north loop; quota=75; permission=read; window=7; cause=rain; action=delay.
