Artifact-0001 has texture smooth, orbit high, and pattern radial.
Artifact-0088 has texture polished, orbit polar, and pattern spiral.
Artifact-0132 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0233 has texture polished, orbit polar, and pattern spiral.
Artifact-0162 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0039 has texture matte, orbit low, and pattern grid.
Artifact-0185 has texture rough, orbit middle, and pattern wave.
Artifact-0237 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0238 has texture polished, orbit polar, and pattern spiral.
Artifact-0159 has texture matte, orbit low, and pattern grid.
Artifact-0164 has texture matte, orbit low, and pattern grid.
Artifact-0076 has texture smooth, orbit high, and pattern radial.
Artifact-0059 has texture matte, orbit low, and pattern grid.
Artifact-0144 has texture matte, orbit low, and pattern grid.
Artifact-0097 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0094 has texture matte, orbit low, and pattern grid.
Artifact-0214 has texture matte, orbit low, and pattern grid.
Artifact-0196 has texture smooth, orbit high, and pattern radial.
Artifact-0213 has texture polished, orbit polar, and pattern spiral.
Artifact-0221 has texture smooth, orbit high, and pattern radial.
Artifact-0065 has texture rough, orbit middle, and pattern wave.
Artifact-0116 has texture smooth, orbit high, and pattern radial.
Artifact-0049 has texture matte, orbit low, and pattern grid.
Artifact-0222 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0224 has texture matte, orbit low, and pattern grid.
Artifact-0063 has texture polished, orbit polar, and pattern spiral.
Artifact-0051 has texture smooth, orbit high, and pattern radial.
Artifact-0118 has texture polished, orbit polar, and pattern spiral.
Artifact-0157 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0106 has texture smooth, orbit high, and pattern radial.
Artifact-0053 has texture polished, orbit polar, and pattern spiral.
Artifact-0045 has texture rough, orbit middle, and pattern wave.
Artifact-0191 has texture smooth, orbit high, and pattern radial.
Artifact-0058 has texture polished, orbit polar, and pattern spiral.
Artifact-0253 has texture polished, orbit polar, and pattern spiral.
Artifact-0071 has texture smooth, orbit high, and pattern radial.
Artifact-0148 has texture polished, orbit polar, and pattern spiral.
Artifact-0254 has texture matte, orbit low, and pattern grid.
Artifact-0131 has texture smooth, orbit high, and pattern radial.
Artifact-0040 has texture rough, orbit middle, and pattern wave.
Artifact-0043 has texture polished, orbit polar, and pattern spiral.
Artifact-0057 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0013 has texture polished, orbit polar, and pattern spiral.
Artifact-0128 has texture polished, orbit polar, and pattern spiral.
Artifact-0178 has texture polished, orbit polar, and pattern spiral.
Artifact-0030 has texture rough, orbit middle, and pattern wave.
Artifact-0046 has texture smooth, orbit high, and pattern radial.
Artifact-0226 has texture smooth, orbit high, and pattern radial.
Artifact-0183 has texture polished, orbit polar, and pattern spiral.
Artifact-0067 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0243 has texture polished, orbit polar, and pattern spiral.
Artifact-0044 has texture matte, orbit low, and pattern grid.
Artifact-0006 has texture smooth, orbit high, and pattern radial.
Artifact-0192 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0172 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0029 has texture matte, orbit low, and pattern grid.
Artifact-0032 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0210 has texture rough, orbit middle, and pattern wave.
Artifact-0082 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0170 has texture rough, orbit middle, and pattern wave.
Artifact-0142 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0019 has texture matte, orbit low, and pattern grid.
Artifact-0231 has texture smooth, orbit high, and pattern radial.
Artifact-0127 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0161 has texture smooth, orbit high, and pattern radial.
Artifact-0146 has texture smooth, orbit high, and pattern radial.
Artifact-0168 has texture polished, orbit polar, and pattern spiral.
Artifact-0195 has texture rough, orbit middle, and pattern wave.
Artifact-0105 has texture rough, orbit middle, and pattern wave.
Artifact-0069 has texture matte, orbit low, and pattern grid.
Artifact-0249 has texture matte, orbit low, and pattern grid.
Artifact-0246 has texture smooth, orbit high, and pattern radial.
Artifact-0026 has texture smooth, orbit high, and pattern radial.
Artifact-0151 has texture smooth, orbit high, and pattern radial.
Artifact-0215 has texture rough, orbit middle, and pattern wave.
Artifact-0190 has texture rough, orbit middle, and pattern wave.
Artifact-0092 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0245 has texture rough, orbit middle, and pattern wave.
Artifact-0086 has texture smooth, orbit high, and pattern radial.
Artifact-0004 has texture matte, orbit low, and pattern grid.
Artifact-0112 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0109 has texture matte, orbit low, and pattern grid.
Artifact-0011 has texture smooth, orbit high, and pattern radial.
Artifact-0050 has texture rough, orbit middle, and pattern wave.
Artifact-0099 has texture matte, orbit low, and pattern grid.
Artifact-0096 has texture smooth, orbit high, and pattern radial.
Artifact-0176 has texture smooth, orbit high, and pattern radial.
Artifact-0117 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0095 has texture rough, orbit middle, and pattern wave.
Artifact-0244 has texture matte, orbit low, and pattern grid.
Artifact-0198 has texture polished, orbit polar, and pattern spiral.
Artifact-0177 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0087 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0169 has texture matte, orbit low, and pattern grid.
Artifact-0068 has texture polished, orbit polar, and pattern spiral.
Artifact-0153 has texture polished, orbit polar, and pattern spiral.
Artifact-0229 has texture matte, orbit low, and pattern grid.
Artifact-0005 has texture rough, orbit middle, and pattern wave.
Artifact-0110 has texture rough, orbit middle, and pattern wave.
Artifact-0089 has texture matte, orbit low, and pattern grid.
Artifact-0218 has texture polished, orbit polar, and pattern spiral.
Artifact-0137 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0012 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0007 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0104 has texture matte, orbit low, and pattern grid.
Artifact-0054 has texture matte, orbit low, and pattern grid.
Artifact-0119 has texture matte, orbit low, and pattern grid.
Artifact-0021 has texture smooth, orbit high, and pattern radial.
Artifact-0101 has texture smooth, orbit high, and pattern radial.
Artifact-0155 has texture rough, orbit middle, and pattern wave.
Artifact-0028 has texture polished, orbit polar, and pattern spiral.
Artifact-0211 has texture smooth, orbit high, and pattern radial.
Artifact-0123 has texture polished, orbit polar, and pattern spiral.
Artifact-0034 has texture matte, orbit low, and pattern grid.
Artifact-0093 has texture polished, orbit polar, and pattern spiral.
Artifact-0002 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0166 has texture smooth, orbit high, and pattern radial.
Artifact-0230 has texture rough, orbit middle, and pattern wave.
Artifact-0108 has texture polished, orbit polar, and pattern spiral.
Artifact-0042 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0209 has texture matte, orbit low, and pattern grid.
Artifact-0075 has texture rough, orbit middle, and pattern wave.
Artifact-0187 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0014 has texture matte, orbit low, and pattern grid.
Artifact-0078 has texture polished, orbit polar, and pattern spiral.
Artifact-0041 has texture smooth, orbit high, and pattern radial.
Artifact-0251 has texture smooth, orbit high, and pattern radial.
Artifact-0240 has texture rough, orbit middle, and pattern wave.
Artifact-0189 has texture matte, orbit low, and pattern grid.
Artifact-0115 has texture rough, orbit middle, and pattern wave.
Artifact-0135 has texture rough, orbit middle, and pattern wave.
Artifact-0252 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0236 has texture smooth, orbit high, and pattern radial.
Artifact-0060 has texture rough, orbit middle, and pattern wave.
Artifact-0202 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0070 has texture rough, orbit middle, and pattern wave.
Artifact-0134 has texture matte, orbit low, and pattern grid.
Artifact-0100 has texture rough, orbit middle, and pattern wave.
Artifact-0174 has texture matte, orbit low, and pattern grid.
Artifact-0009 has texture matte, orbit low, and pattern grid.
Artifact-0038 has texture polished, orbit polar, and pattern spiral.
Artifact-0033 has texture polished, orbit polar, and pattern spiral.
Artifact-0022 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0017 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0121 has texture smooth, orbit high, and pattern radial.
Artifact-0201 has texture smooth, orbit high, and pattern radial.
Artifact-0008 has texture polished, orbit polar, and pattern spiral.
Artifact-0239 has texture matte, orbit low, and pattern grid.
Artifact-0182 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0047 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0167 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0179 has texture matte, orbit low, and pattern grid.
Artifact-0147 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0173 has texture polished, orbit polar, and pattern spiral.
Artifact-0098 has texture polished, orbit polar, and pattern spiral.
Artifact-0152 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0216 has texture smooth, orbit high, and pattern radial.
Artifact-0203 has texture polished, orbit polar, and pattern spiral.
Artifact-0073 has texture polished, orbit polar, and pattern spiral.
Artifact-0150 has texture rough, orbit middle, and pattern wave.
Artifact-0165 has texture rough, orbit middle, and pattern wave.
Artifact-0223 has texture polished, orbit polar, and pattern spiral.
Artifact-0206 has texture smooth, orbit high, and pattern radial.
Artifact-0138 has texture polished, orbit polar, and pattern spiral.
Artifact-0188 has texture polished, orbit polar, and pattern spiral.
Artifact-0199 has texture matte, orbit low, and pattern grid.
Artifact-0031 has texture smooth, orbit high, and pattern radial.
Artifact-0074 has texture matte, orbit low, and pattern grid.
Artifact-0205 has texture rough, orbit middle, and pattern wave.
Artifact-0242 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0027 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0125 has texture rough, orbit middle, and pattern wave.
Artifact-0248 has texture polished, orbit polar, and pattern spiral.
Artifact-0081 has texture smooth, orbit high, and pattern radial.
Artifact-0020 has texture rough, orbit middle, and pattern wave.
Artifact-0255 has texture rough, orbit middle, and pattern wave.
Artifact-0114 has texture matte, orbit low, and pattern grid.
Artifact-0139 has texture matte, orbit low, and pattern grid.
Artifact-0036 has texture smooth, orbit high, and pattern radial.
Artifact-0061 has texture smooth, orbit high, and pattern radial.
Artifact-0056 has texture smooth, orbit high, and pattern radial.
Artifact-0145 has texture rough, orbit middle, and pattern wave.
Artifact-0048 has texture polished, orbit polar, and pattern spiral.
Artifact-0016 has texture smooth, orbit high, and pattern radial.
Artifact-0225 has texture rough, orbit middle, and pattern wave.
Artifact-0083 has texture polished, orbit polar, and pattern spiral.
Artifact-0219 has texture matte, orbit low, and pattern grid.
Artifact-0062 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0085 has texture rough, orbit middle, and pattern wave.
Artifact-0126 has texture smooth, orbit high, and pattern radial.
Artifact-0208 has texture polished, orbit polar, and pattern spiral.
Artifact-0000 has texture rough, orbit middle, and pattern wave.
Artifact-0160 has texture rough, orbit middle, and pattern wave.
Artifact-0171 has texture smooth, orbit high, and pattern radial.
Artifact-0181 has texture smooth, orbit high, and pattern radial.
Artifact-0102 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0184 has texture matte, orbit low, and pattern grid.
Artifact-0023 has texture polished, orbit polar, and pattern spiral.
Artifact-0003 has texture polished, orbit polar, and pattern spiral.
Artifact-0140 has texture rough, orbit middle, and pattern wave.
Artifact-0015 has texture rough, orbit middle, and pattern wave.
Artifact-0250 has texture rough, orbit middle, and pattern wave.
Artifact-0133 has texture polished, orbit polar, and pattern spiral.
Artifact-0113 has texture polished, orbit polar, and pattern spiral.
Artifact-0241 has texture smooth, orbit high, and pattern radial.
Artifact-0141 has texture smooth, orbit high, and pattern radial.
Artifact-0052 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0163 has texture polished, orbit polar, and pattern spiral.
Artifact-0156 has texture smooth, orbit high, and pattern radial.
Artifact-0080 has texture rough, orbit middle, and pattern wave.
Artifact-0111 has texture smooth, orbit high, and pattern radial.
Artifact-0090 has texture rough, orbit middle, and pattern wave.
Artifact-0220 has texture rough, orbit middle, and pattern wave.
Artifact-0143 has texture polished, orbit polar, and pattern spiral.
Artifact-0120 has texture rough, orbit middle, and pattern wave.
Artifact-0084 has texture matte, orbit low, and pattern grid.
Artifact-0175 has texture rough, orbit middle, and pattern wave.
Artifact-0217 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0018 has texture polished, orbit polar, and pattern spiral.
Artifact-0186 has texture smooth, orbit high, and pattern radial.
Artifact-0025 has texture rough, orbit middle, and pattern wave.
Artifact-0079 has texture matte, orbit low, and pattern grid.
Artifact-0037 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0154 has texture matte, orbit low, and pattern grid.
Artifact-0207 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0180 has texture rough, orbit middle, and pattern wave.
Artifact-0136 has texture smooth, orbit high, and pattern radial.
Artifact-0064 has texture matte, orbit low, and pattern grid.
Artifact-0204 has texture matte, orbit low, and pattern grid.
Artifact-0158 has texture polished, orbit polar, and pattern spiral.
Artifact-0024 has texture matte, orbit low, and pattern grid.
Artifact-0193 has texture polished, orbit polar, and pattern spiral.
Artifact-0234 has texture matte, orbit low, and pattern grid.
Artifact-0072 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0035 has texture rough, orbit middle, and pattern wave.
Artifact-0129 has texture matte, orbit low, and pattern grid.
Artifact-0055 has texture rough, orbit middle, and pattern wave.
Artifact-0232 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0228 has texture polished, orbit polar, and pattern spiral.
Artifact-0149 has texture matte, orbit low, and pattern grid.
Artifact-0091 has texture smooth, orbit high, and pattern radial.
Artifact-0122 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0077 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0212 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0200 has texture rough, orbit middle, and pattern wave.
Artifact-0235 has texture rough, orbit middle, and pattern wave.
Artifact-0103 has texture polished, orbit polar, and pattern spiral.
Artifact-0124 has texture matte, orbit low, and pattern grid.
Artifact-0130 has texture rough, orbit middle, and pattern wave.
Artifact-0247 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0066 has texture smooth, orbit high, and pattern radial.
Artifact-0010 has texture rough, orbit middle, and pattern wave.
Artifact-0107 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0227 has texture grainy, orbit retrograde, and pattern dotted.
Artifact-0194 has texture matte, orbit low, and pattern grid.
Artifact-0197 has texture grainy, orbit retrograde, and pattern dotted.
