In archive delta, Unit-0000 must take route violet ferry, has quota 12, uses permission mine, opens window 4, and if clear sky occurs then the required action is skip. Query answer: Unit-0000 route=violet ferry; quota=12; permission=mine; window=4; cause=clear sky; action=skip.
In archive delta, Unit-0001 must take route omega canal, has quota 19, uses permission jam, opens window 9, and if drought occurs then the required action is release. Query answer: Unit-0001 route=omega canal; quota=19; permission=jam; window=9; cause=drought; action=release.
In archive delta, Unit-0002 must take route black spur, has quota 26, uses permission launch, opens window 14, and if frost occurs then the required action is advance. Query answer: Unit-0002 route=black spur; quota=26; permission=launch; window=14; cause=frost; action=advance.
In archive delta, Unit-0003 must take route south loop, has quota 33, uses permission import, opens window 19, and if silence occurs then the required action is depart. Query answer: Unit-0003 route=south loop; quota=33; permission=import; window=19; cause=silence; action=depart.
In archive delta, Unit-0004 must take route west ridge, has quota 40, uses permission write, opens window 6, and if still air occurs then the required action is overheat. Query answer: Unit-0004 route=west ridge; quota=40; permission=write; window=6; cause=still air; action=overheat.
In archive delta, Unit-0005 must take route violet ferry, has quota 47, uses permission mine, opens window 11, and if clear sky occurs then the required action is skip. Query answer: Unit-0005 route=violet ferry; quota=47; permission=mine; window=11; cause=clear sky; action=skip.
In archive delta, Unit-0006 must take route omega canal, has quota 54, uses permission jam, opens window 16, and if drought occurs then the required action is release. Query answer: Unit-0006 route=omega canal; quota=54; permission=jam; window=16; cause=drought; action=release.
In archive delta, Unit-0007 must take route black spur, has quota 61, uses permission launch, opens window 3, and if frost occurs then the required action is advance. Query answer: Unit-0007 route=black spur; quota=61; permission=launch; window=3; cause=frost; action=advance.
In archive delta, Unit-0008 must take route south loop, has quota 68, uses permission import, opens window 8, and if silence occurs then the required action is depart. Query answer: Unit-0008 route=south loop; quota=68; permission=import; window=8; cause=silence; action=depart.
In archive delta, Unit-0009 must take route west ridge, has quota 75, uses permission write, opens window 13, and if still air occurs then the required action is overheat. Query answer: Unit-0009 route=west ridge; quota=75; permission=write; window=13; cause=still air; action=overheat.
In archive delta, Unit-0010 must take route violet ferry, has quota 82, uses permission mine, opens window 18, and if clear sky occurs then the required action is skip. Query answer: Unit-0010 route=violet ferry; quota=82; permission=mine; window=18; cause=clear sky; action=skip.
In archive delta, Unit-0011 must take route omega canal, has quota 89, uses permission jam, opens window 5, and if drought occurs then the required action is release. Query answer: Unit-0011 route=omega canal; quota=89; permission=jam; window=5; cause=drought; action=release.
In archive delta, Unit-0012 must take route black spur, has quota 16, uses permission launch, opens window 10, and if frost occurs then the required action is advance. Query answer: Unit-0012 route=black spur; quota=16; permission=launch; window=10; cause=frost; action=advance.
In archive delta, Unit-0013 must take route south loop, has quota 23, uses permission import, opens window 15, and if silence occurs then the required action is depart. Query answer: Unit-0013 route=south loop; quota=23; permission=import; window=15; cause=silence; action=depart.
In archive delta, Unit-0014 must take route west ridge, has quota 30, uses permission write, opens window 2, and if still air occurs then the required action is overheat. Query answer: Unit-0014 route=west ridge; quota=30; permission=write; window=2; cause=still air; action=overheat.
In archive delta, Unit-0015 must take route violet ferry, has quota 37, uses permission mine, opens window 7, and if clear sky occurs then the required action is skip. Query answer: Unit-0015 route=violet ferry; quota=37; permission=mine; window=7; cause=clear sky; action=skip.
In archive delta, Unit-0016 must take route omega canal, has quota 44, uses permission jam, opens window 12, and if drought occurs then the required action is release. Query answer: Unit-0016 route=omega canal; quota=44; permission=jam; window=12; cause=drought; action=release.
In archive delta, Unit-0017 must take route black spur, has quota 51, uses permission launch, opens window 17, and if frost occurs then the required action is advance. Query answer: Unit-0017 route=black spur; quota=51; permission=launch; window=17; cause=frost; action=advance.
