Entity-0001 belongs to guild archive. Entity-0001 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0001: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0088 belongs to guild mechanic. Entity-0088 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0088: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0132 belongs to guild mining. Entity-0132 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0132: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0233 belongs to guild archive. Entity-0233 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0233: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0162 belongs to guild botany. Entity-0162 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0162: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0039 belongs to guild trade. Entity-0039 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0039: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0185 belongs to guild archive. Entity-0185 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0185: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0237 belongs to guild law. Entity-0237 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0237: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0238 belongs to guild weaving. Entity-0238 has color ivory, station Nadir, role weaver, and object loom. Answer for Entity-0238: color=ivory; station=Nadir; role=weaver; object=loom. Related context: guild weaving members usually operate looms at Nadir.
Entity-0159 belongs to guild trade. Entity-0159 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0159: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0164 belongs to guild mining. Entity-0164 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0164: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0076 belongs to guild mining. Entity-0076 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0076: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0059 belongs to guild navigation. Entity-0059 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0059: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
Entity-0144 belongs to guild mechanic. Entity-0144 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0144: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0097 belongs to guild archive. Entity-0097 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0097: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0094 belongs to guild weaving. Entity-0094 has color ivory, station Nadir, role weaver, and object loom. Answer for Entity-0094: color=ivory; station=Nadir; role=weaver; object=loom. Related context: guild weaving members usually operate looms at Nadir.
Entity-0214 belongs to guild weaving. Entity-0214 has color ivory, station Nadir, role weaver, and object loom. Answer for Entity-0214: color=ivory; station=Nadir; role=weaver; object=loom. Related context: guild weaving members usually operate looms at Nadir.
Entity-0196 belongs to guild mining. Entity-0196 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0196: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0213 belongs to guild law. Entity-0213 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0213: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0221 belongs to guild law. Entity-0221 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0221: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0065 belongs to guild archive. Entity-0065 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0065: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0116 belongs to guild mining. Entity-0116 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0116: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0049 belongs to guild archive. Entity-0049 has color violet, station Kestrel, role archivist, and object ledger. Answer for Entity-0049: color=violet; station=Kestrel; role=archivist; object=ledger. Related context: guild archive members usually catalog ledgers at Kestrel.
Entity-0222 belongs to guild weaving. Entity-0222 has color ivory, station Nadir, role weaver, and object loom. Answer for Entity-0222: color=ivory; station=Nadir; role=weaver; object=loom. Related context: guild weaving members usually operate looms at Nadir.
Entity-0224 belongs to guild mechanic. Entity-0224 has color orange, station Helio, role engineer, and object engine. Answer for Entity-0224: color=orange; station=Helio; role=engineer; object=engine. Related context: guild mechanic members usually repair engines near Helio.
Entity-0063 belongs to guild trade. Entity-0063 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0063: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0051 belongs to guild navigation. Entity-0051 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0051: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
Entity-0118 belongs to guild weaving. Entity-0118 has color ivory, station Nadir, role weaver, and object loom. Answer for Entity-0118: color=ivory; station=Nadir; role=weaver; object=loom. Related context: guild weaving members usually operate looms at Nadir.
Entity-0157 belongs to guild law. Entity-0157 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0157: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0106 belongs to guild botany. Entity-0106 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0106: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0053 belongs to guild law. Entity-0053 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0053: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0045 belongs to guild law. Entity-0045 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0045: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0191 belongs to guild trade. Entity-0191 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0191: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0058 belongs to guild botany. Entity-0058 has color green, station Moss, role botanist, and object orchid. Answer for Entity-0058: color=green; station=Moss; role=botanist; object=orchid. Related context: guild botany members usually grow orchids around Moss.
Entity-0253 belongs to guild law. Entity-0253 has color cyan, station Junra, role judge, and object gavel. Answer for Entity-0253: color=cyan; station=Junra; role=judge; object=gavel. Related context: guild law members usually use gavels in Junra courts.
Entity-0071 belongs to guild trade. Entity-0071 has color teal, station Prax, role merchant, and object scale. Answer for Entity-0071: color=teal; station=Prax; role=merchant; object=scale. Related context: guild trade members usually balance scales near Prax.
Entity-0148 belongs to guild mining. Entity-0148 has color amber, station Cinder, role miner, and object lantern. Answer for Entity-0148: color=amber; station=Cinder; role=miner; object=lantern. Related context: guild mining members usually carry lanterns below Cinder.
Entity-0254 belongs to guild weaving. Entity-0254 has color ivory, station Nadir, role weaver, and object loom. Answer for Entity-0254: color=ivory; station=Nadir; role=weaver; object=loom. Related context: guild weaving members usually operate looms at Nadir.
Entity-0131 belongs to guild navigation. Entity-0131 has color blue, station Aster, role pilot, and object compass. Answer for Entity-0131: color=blue; station=Aster; role=pilot; object=compass. Related context: guild navigation members usually chart compass routes at Aster.
